Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
general_count_sort,100,0,0.0513
selection_sort,200,19900,1.574
insertion_sort,200,10185,1.4389
merge_sort,200,1544,0.6919
quick_sort,200,199,0.2415
bubble_sort,200,19900,2.6255
optimal_bubble_sort,200,199,0.0181
heap_sort,200,1080,0.5968
general_count_sort,200,0,0.0834
selection_sort,400,79800,5.4727
insertion_sort,400,38661,4.8485
merge_sort,400,3488,1.1661
quick_sort,400,399,0.5577
bubble_sort,400,79800,9.8159
optimal_bubble_sort,400,399,0.0341
heap_sort,400,2539,1.3454
general_count_sort,400,0,0.1442
selection_sort,800,319600,22.2492
insertion_sort,800,164902,23.2706
merge_sort,800,7776,2.3465
quick_sort,800,799,1.4653
bubble_sort,800,319600,48.2631
optimal_bubble_sort,800,799,0.0765
heap_sort,800,5751,3.2575
general_count_sort,800,0,0.3226
selection_sort,1000,499500,36.5419
insertion_sort,1000,253268,34.8713
merge_sort,1000,9976,3.0215
quick_sort,1000,999,1.5056
bubble_sort,1000,499500,74.3551
optimal_bubble_sort,1000,999,0.0963
heap_sort,1000,7325,4.5388
general_count_sort,1000,0,0.3896
selection_sort,2000,1999000,141.4156
insertion_sort,2000,961962,145.8008
merge_sort,2000,21952,6.5622
quick_sort,2000,1999,3.509
bubble_sort,2000,1999000,272.6057
optimal_bubble_sort,2000,1999,0.1874
heap_sort,2000,15915,9.0206
general_count_sort,2000,0,0.7672
selection_sort,100,4950,0.3803
insertion_sort,100,2419,0.3369
merge_sort,100,672,0.2384
quick_sort,100,99,0.1109
bubble_sort,100,4950,0.6304
optimal_bubble_sort,100,99,0.0105
heap_sort,100,468,0.262
general_count_sort,100,0,0.0477
selection_sort,200,19900,1.4369
insertion_sort,200,9752,1.2138
merge_sort,200,1544,0.4849
quick_sort,200,199,0.2055
bubble_sort,200,19900,2.4166
optimal_bubble_sort,200,199,0.0179
heap_sort,200,1085,0.5844
general_count_sort,200,0,0.0908
selection_sort,400,79800,5.5685
insertion_sort,400,39417,5.0352
merge_sort,400,3488,1.0352
quick_sort,400,399,0.4873
bubble_sort,400,79800,9.8457
optimal_bubble_sort,400,399,0.0341
heap_sort,400,2544,1.3242
general_count_sort,400,0,0.1462
selection_sort,800,319600,24.3199
insertion_sort,800,162553,23.2573
merge_sort,800,7776,2.5361
quick_sort,800,799,1.2128
bubble_sort,800,319600,47.3413
optimal_bubble_sort,800,799,0.0725
heap_sort,800,5801,3.0754
general_count_sort,800,0,0.2878
selection_sort,1000,499500,35.733
insertion_sort,1000,243897,33.8619
merge_sort,1000,9976,2.9585
quick_sort,1000,999,1.8857
bubble_sort,1000,499500,69.2344
optimal_bubble_sort,1000,999,0.0932
heap_sort,1000,7416,3.9835
general_count_sort,1000,0,0.3927
selection_sort,2000,1999000,153.3301
insertion_sort,2000,976719,148.2522
merge_sort,2000,21952,6.6602
quick_sort,2000,1999,3.7026
bubble_sort,2000,1999000,291.6269
optimal_bubble_sort,2000,1999,0.1745
heap_sort,2000,16036,7.9775
general_count_sort,2000,0,0.6826
selection_sort,100,4950,0.345
insertion_sort,100,2189,0.2673
merge_sort,100,672,0.2518
quick_sort,100,99,0.1128
bubble_sort,100,4950,0.5717
optimal_bubble_sort,100,99,0.0105
heap_sort,100,463,0.2623
general_count_sort,100,0,0.0484
selection_sort,200,19900,1.3583
insertion_sort,200,9971,1.2324
merge_sort,200,1544,0.5527
quick_sort,200,199,0.227
bubble_sort,200,19900,2.3654
optimal_bubble_sort,200,199,0.0174
heap_sort,200,1108,0.5839
general_count_sort,200,0,0.0834
selection_sort,400,79800,5.4779
insertion_sort,400,40714,5.0988
merge_sort,400,3488,1.137
quick_sort,400,399,0.5136
bubble_sort,400,79800,9.7713
optimal_bubble_sort,400,399,0.0384
heap_sort,400,2531,1.2944
general_count_sort,400,0,0.1462
selection_sort,800,319600,22.2468
insertion_sort,800,156757,21.3194
merge_sort,800,7776,2.8415
quick_sort,800,799,1.3142
bubble_sort,800,319600,46.7739
optimal_bubble_sort,800,799,0.0758
heap_sort,800,5798,3.2678
general_count_sort,800,0,0.406
selection_sort,1000,499500,38.9535
insertion_sort,1000,242443,33.1295
merge_sort,1000,9976,2.9545
quick_sort,1000,999,1.5063
bubble_sort,1000,499500,69.6447
optimal_bubble_sort,1000,999,0.0973
heap_sort,1000,7372,4.6659
general_count_sort,1000,0,0.3886
selection_sort,2000,1999000,145.5026
insertion_sort,2000,1026196,148.9947
merge_sort,2000,21952,6.3665
quick_sort,2000,1999,3.8133
bubble_sort,2000,1999000,276.0894
optimal_bubble_sort,2000,1999,0.1709
heap_sort,2000,15990,7.8108
general_count_sort,2000,0,0.6652
selection_sort,100,4950,0.3552
insertion_sort,100,2773,0.3579
merge_sort,100,672,0.221
quick_sort,100,99,0.1087
bubble_sort,100,4950,0.6161
optimal_bubble_sort,100,99,0.0103
heap_sort,100,467,0.2606
general_count_sort,100,0,0.046
selection_sort,200,19900,1.3585
insertion_sort,200,10441,1.2758
merge_sort,200,1544,0.5016
quick_sort,200,199,0.206
bubble_sort,200,19900,2.4495
optimal_bubble_sort,200,199,0.0184
heap_sort,200,1098,0.5796
general_count_sort,200,0,0.0796
selection_sort,400,79800,5.5151
insertion_sort,400,39727,4.9508
merge_sort,400,3488,1.0889
quick_sort,400,399,0.5021
bubble_sort,400,79800,9.6285
optimal_bubble_sort,400,399,0.0348
heap_sort,400,2562,1.2994
general_count_sort,400,0,0.1488
selection_sort,800,319600,23.212
insertion_sort,800,165758,25.1267
merge_sort,800,7776,2.8379
quick_sort,800,799,1.4279
bubble_sort,800,319600,48.8675
optimal_bubble_sort,800,799,0.0763
heap_sort,800,5752,3.1257
general_count_sort,800,0,0.3192
selection_sort,1000,499500,35.8047
insertion_sort,1000,247159,33.7977
merge_sort,1000,9976,2.9793
quick_sort,1000,999,1.5049
bubble_sort,1000,499500,69.0444
optimal_bubble_sort,1000,999,0.1078
heap_sort,1000,7383,4.0865
general_count_sort,1000,0,0.3972
selection_sort,2000,1999000,149.6525
insertion_sort,2000,976013,142.3671
merge_sort,2000,21952,6.4988
quick_sort,2000,1999,3.5217
bubble_sort,2000,1999000,287.394
optimal_bubble_sort,2000,1999,0.176
heap_sort,2000,15972,7.8716
general_count_sort,2000,0,0.6738
selection_sort,100,4950,0.3526
insertion_sort,100,2518,0.3071
merge_sort,100,672,0.2584
quick_sort,100,99,0.1142
bubble_sort,100,4950,0.6123
optimal_bubble_sort,100,99,0.0103
heap_sort,100,458,0.2606
general_count_sort,100,0,0.0486
selection_sort,200,19900,1.333
insertion_sort,200,9431,1.1454
merge_sort,200,1544,0.5631
quick_sort,200,199,0.217
bubble_sort,200,19900,2.3286
optimal_bubble_sort,200,199,0.0172
heap_sort,200,1114,0.5863
general_count_sort,200,0,0.0796
selection_sort,400,79800,5.4893
insertion_sort,400,36988,4.6463
merge_sort,400,3488,1.1137
quick_sort,400,399,0.5538
bubble_sort,400,79800,9.594
optimal_bubble_sort,400,399,0.0365
heap_sort,400,2593,1.3208
general_count_sort,400,0,0.1502
selection_sort,800,319600,23.0756
insertion_sort,800,157212,21.8482
merge_sort,800,7776,2.4705
quick_sort,800,799,1.2932
bubble_sort,800,319600,64.9214
optimal_bubble_sort,800,799,0.097
heap_sort,800,5765,3.1211
general_count_sort,800,0,0.3939
selection_sort,1000,499500,37.9252
insertion_sort,1000,240528,33.2923
merge_sort,1000,9976,2.9576
quick_sort,1000,999,1.6634
bubble_sort,1000,499500,71.3
optimal_bubble_sort,1000,999,0.1187
heap_sort,1000,7426,4.1142
general_count_sort,1000,0,0.4261
selection_sort,2000,1999000,172.2872
insertion_sort,2000,988275,147.1112
merge_sort,2000,21952,6.4626
quick_sort,2000,1999,3.7022
bubble_sort,2000,1999000,288.2583
optimal_bubble_sort,2000,1999,0.1984
heap_sort,2000,15818,9.254
general_count_sort,2000,0,0.7436
selection_sort,100,4950,0.3529
insertion_sort,100,2332,0.282
merge_sort,100,672,0.221
quick_sort,100,99,0.1094
bubble_sort,100,4950,0.596
optimal_bubble_sort,100,99,0.01
heap_sort,100,456,0.2592
general_count_sort,100,0,0.0479
selection_sort,200,19900,1.3411
insertion_sort,200,9604,1.1628
merge_sort,200,1544,0.4845
quick_sort,200,199,0.2182
bubble_sort,200,19900,2.3904
optimal_bubble_sort,200,199,0.0174
heap_sort,200,1078,0.5765
